Hg	196-Hg	 80	196	    0.15(1)         	  3190(180)         	 .9880	   10
Au	197-Au	 79	197	   100              	   98.65(9)         	1.0050	  737
Pt	198-Pt	 78	198	    7.163(55)       	    3.66(19)        	1.0000	   44
Hg	198-Hg	 80	198	    9.97(20)        	    2.0(3)          	1.0010	    3
Hg	199-Hg	 80	199	   16.87(22)        	  2150(50)          	 .9890	  425
Hg	200-Hg	 80	200	   23.10(19)        	   <60              	1.0000	    0
Hg	201-Hg	 80	201	   13.18(9)         	    5.7(12)         	1.0000	   97
Hg	202-Hg	 80	202	   29.86(26)        	    4.42(7)         	1.0000	    0
Tl	203-Tl	 81	203	   29.524(14)       	   11.4(2)          	1.0000	  113
Hg	204-Hg	 80	204	    6.87(15)        	    0.43(10)        	1.0000	   13
Pb	204-Pb	 82	204	    1.4(1)          	    0.66(7)         	1.0010	   35
Tl	205-Tl	 81	205	   70.476(14)       	    0.104(17)       	1.0000	   13
Pb	206-Pb	 82	206	   24.1(1)          	    0.0266(12)      	1.0010	    6
Pb	207-Pb	 82	207	   22.1(1)          	    0.63(3)         	1.0010	   23
Pb	208-Pb	 82	208	   52.4(1)          	    0.00023(3)      	1.0030	    0
Bi	209-Bi	 83	209	   100              	    0.0338(7)       	 .9990	  230
Th	232-Th	 90	232	   100              	    7.35(3)         	 .9950	  196
U 	234-U 	 92	234	    0.0055(5)       	   99.8(13)         	 .9900	   49
U 	235-U 	 92	235	    0.7200(51)      	   98.3(8)          	 .9850	    8
U 	238-U 	 92	238	   99.274(11)       	    2.680(19)       	1.0020	  267
